net,length_um
clknet_0_clk,1047.28
_1872_,871.86
_2032_,833.06
_1168_,825.05
_1938_,804.44
_1959_,792.41
_1970_,774.87
_1974_,767.85
_1976_,735.605
_3317_,718.43
_2028_,711.5
_1960_,702.83
_1961_,700.11
_1809_,691.74
_2086_,687.95
_1170_,681.12
_1176_,680.73
_1243_,679.79
_1154_,671.85
_3088_,663.84
_1831_,655.96
_1509_,634.23
_1238_,633.63
_1939_,631.32
_1246_,627.86
_1172_,626.87
_1973_,626.86
_1966_,621.39
_1842_,619.89
_1812_,618.68
_1166_,617.57
_1153_,602.48
_2777_,600.49
_1547_,595.95
_2093_,594.71
_1971_,586.17
_2033_,584.36
_1510_,583.43
_2627_,580.16
_2600_,575.3
_1237_,573.45
_3117_,571.615
_1978_,569.88
_1965_,568.01
_2015_,562.01
_3005_,561.93
_2886_,557.585
_1845_,557.12
_1188_,556.34
_3235_,552.87
_1805_,552.61
_1190_,549.36
_3346_,543.4
_2646_,542.76
_1843_,537.09
_1848_,531.44
_1247_,526.79
_1819_,520.6
_1159_,519.22
_2529_,515.52
_1195_,515.04
_2029_,509.68
_1472_,509.09
_1551_,506.28
_2621_,503.07
_2861_,501.61
_2884_,500.25
_1194_,499.5
_1846_,499.4
_1964_,498.41
_1873_,497.29
_2462_,496.6
_1271_,495.74
_2901_,493.93
_1798_,491.99
_2045_,490.55
_2017_,490.48
_3200_,490.14
_1821_,490.04
_1829_,488.49
_1272_,487.65
_1863_,487.65
_1948_,485.14
_2634_,484.82
_1800_,483.49
_1822_,483.13
net5,482.29
_2439_,482.23
_2640_,481.19
_1548_,481.15
_1804_,480.93
_2611_,480.13
_2454_,478.35
_1205_,474.76
_2625_,474.57
_1968_,471.23
_1203_,469.12
_1552_,469.11
net28,467.46
_1833_,465.72
_2466_,462.98
_1850_,462.885
_2895_,461.04
_2475_,460.7
_1157_,460.54
_2046_,460.24
_2897_,460.23
_2738_,456.29
_3145_,454.1
_1200_,453.42
_2484_,453.28
_1199_,450.05
_1816_,450.02
_1814_,449.53
_2888_,448.21
_2619_,446.67
_2684_,445.41
_3096_,443.62
_1162_,441.96
_2838_,441.09
_2472_,440.43
_2868_,433.8
_2842_,432.86
_1862_,432.59
net111,430.46
_2891_,429.11
_2456_,428.46
_2642_,428.08
_1864_,427.83
_1871_,423.99
_2113_,423.05
clk,421.42
_1824_,419.45
_2865_,417.59
net97,415.51
_1913_,415.36
_2092_,414.61
_1202_,414.33
_2481_,413.955
_2878_,412.92
_2463_,410.69
_3007_,408.99
_2485_,408.08
_1161_,408.03
_3181_,407.38
_2482_,407.23
net33,407.04
_2881_,406.68
_2694_,406.61
_2824_,406.21
_2474_,403.94
_2014_,402.8
_1207_,402.695
_2644_,402.22
_1186_,399.08
net85,398.815
_1361_,398.18
_2461_,397.85
_2874_,397.285
_1360_,396.62
_1949_,396.05
_2943_,395.65
_2615_,395.37
_2448_,393.11
_2636_,392.42
_1183_,391.5
_2920_,391.46
_1363_,390.56
_2457_,389.51
_2909_,389.05
_2486_,388.24
_2631_,387.32
_2473_,386.7
_1866_,386.36
_1837_,386.325
_3009_,386.31
_3137_,384.5
_1251_,383.67
_1802_,383.4
_2899_,382.75
_2483_,382.63
_3237_,381.35
_3323_,380.09
_2480_,380.08
_1252_,379.27
_2452_,379.14
_2775_,377.86
_1838_,377.52
_2659_,376.22
_3369_,375.57
_2470_,375.55
_1364_,375.12
_1840_,374.72
_2911_,373.19
_2638_,372.61
_3225_,372.6
_2559_,372.57
_2116_,371.29
_2740_,370.98
_2918_,370.52
_2479_,370.34
_2617_,367.83
net11,366.7
_3367_,366.64
_2648_,366.5
net12,366.09
_2478_,365.63
_3159_,365.4
net110,364.8
_2657_,364.39
_2508_,364.15
_2118_,363.83
_2459_,362.46
_3393_,361.56
_2607_,361.37
_3437_,359.94
_2851_,359.92
_1914_,359.57
_2661_,358.82
_2665_,358.28
_1279_,358.19
_2509_,357.66
net90,357.44
_2834_,357.36
_2730_,357.34
net95,356.08
_2717_,355.82
_2671_,355.28
_1521_,354.79
_1187_,353.94
net27,353.67
_3325_,353.53
_2469_,353.34
_2676_,353.06
net88,352.4
_2458_,352.15
_2872_,351.105
_2623_,350.72
_2682_,349.8
_3227_,348.7
net93,348.49
_2597_,347.36
net39,346.65
_2613_,345.25
_2605_,344.41
_2757_,344.23
net108,344.1
_3281_,343.67
net68,343.52
_2018_,343.28
net69,341.82
_3183_,341.48
_2845_,339.47
_2840_,337.43
_2863_,337.24
_2654_,337.08
_1820_,334.34
_2893_,332.98
_2667_,331.84
net71,331.72
net67,331.4
net25,330.93
_2930_,330.85
_1836_,330.605
_1877_,330.11
_2460_,328.78
_2650_,328.64
_2748_,328.38
net101,328.38
_2487_,326.64
_3062_,325.82
_2223_,325.32
_2905_,324.54
_2855_,324.46
net18,323.87
net103,322.76
net61,321.41
_2673_,320.84
_2191_,320.62
net10,320.25
_2849_,320.14
_2876_,318.3
_2468_,318.09
_2759_,317.74
_2750_,317.16
_2832_,316.85
net57,316.15
net92,315.62
_3406_,315.515
_3388_,314.59
_1197_,313.6
net15,313.11
_2488_,311.7
net72,311
_1867_,310.54
_2844_,309.59
net100,309.26
_3279_,309.21
_2903_,309.2
net74,308.98
_3130_,308.81
_2467_,308.78
_1158_,308.16
net86,308.09
_2870_,307.56
_2847_,307.2
_3094_,306.34
_3139_,305.57
_2858_,305.55
_3075_,305.17
_2962_,305.03
_2692_,303.9
net99,303.78
_2543_,303.56
net43,303.41
_2555_,303.075
_1189_,302.26
net2,301.55
_2890_,301.32
net91,299.69
_1869_,298.67
_1193_,298.45
_2853_,298.16
_3187_,297.88
_3304_,296.45
net24,295.63
_2608_,295.37
_2101_,294.8
_1903_,294.47
_1241_,293.86
_2798_,293.685
_2097_,293.04
_1165_,291.48
_3172_,291.43
net50,291.26
net17,290.06
_2768_,289.94
net96,289.3
_3439_,288.44
_1488_,288.38
_3400_,287.875
_2731_,287.23
_2455_,287.2
_3359_,286.9
_2835_,284.33
net70,284.24
_1486_,283.97
net66,283.88
_1796_,283.03
_2964_,282.41
_1236_,281.74
_3401_,280.29
_1171_,280.24
_3378_,280.2
net44,280.09
_1880_,278.41
net4,278.41
net14,278.38
_2471_,277.18
net49,277.04
_2493_,275.86
_2669_,275.78
_1240_,275.61
_2663_,275.55
net109,274.94
_3414_,274.66
_2968_,274.38
net63,273.8
_2720_,273.32
_1250_,273.29
net78,273.22
_2496_,272.4
_3443_,272.38
_3230_,272.2
_2766_,269.39
_3444_,269.19
_3275_,268.3
_1354_,267.85
_1431_,267.32
_1173_,267.13
_3428_,266.46
_2779_,265.93
net1,265.24
_3065_,265.02
_1156_,264.78
_1876_,263.97
net52,263.66
_1245_,262.99
_3229_,262.11
_1349_,261.77
_1254_,260.42
_2678_,260.07
_1430_,259.45
_2632_,259.26
net58,259.08
_3377_,258.56
_3430_,258.47
_2675_,257.79
net46,257.74
_1483_,257.51
_3053_,257.51
net82,256.46
_1878_,255.96
_2516_,255.48
_2811_,255.2
_3291_,255.14
_1479_,254.5
_1353_,252.56
_3376_,252.02
net60,251.42
_2494_,251.31
_3386_,251.31
_2803_,250.81
_1426_,250.32
_1808_,248.7
net59,246.2
_2981_,245.73
_1427_,245.44
_3333_,244.21
_2721_,244.17
_2630_,244.12
_2584_,243.49
_2817_,243.3
net80,243.2
_1350_,243.03
_1826_,241.71
_3213_,241.28
net105,241.18
_2704_,241.08
_2816_,240.74
net53,240.54
_3231_,239.5
_1815_,238.9
net102,238.08
net62,237.89
net8,237.38
net55,237.28
_2495_,237.22
_2539_,235.77
_2946_,235.44
_2513_,235.06
_1811_,234.94
_1813_,234.94
clknet_4_2_0_clk,234.28
_3051_,234.14
_2653_,234.03
net37,233.46
net83,233.03
clknet_4_13_0_clk,231.89
_2629_,231.14
_2106_,230.08
_2994_,229.975
_2689_,229.96
net31,229.79
_1797_,229.765
_2933_,229.62
_3379_,229.62
clknet_4_8_0_clk,228.97
_2916_,228.06
_3047_,227.58
_2104_,227.52
_2915_,226.26
net84,225.34
_2867_,223.58
_2934_,223.47
net26,223.38
_2761_,223.34
net77,223.31
_2913_,223.21
_2688_,221.52
_2947_,221.51
net20,221.47
_1313_,220.64
_3429_,220.55
_2771_,219.47
clknet_4_1_0_clk,218.66
net7,218.46
_2749_,218.41
net56,217.58
net51,216.96
_2769_,216.92
_3339_,216.72
net104,216.7
net79,216.22
_1801_,216.09
_2707_,215.32
net113,215.28
_2751_,215.27
_2780_,215.05
_3078_,214.98
_2693_,214.7
_2914_,214.01
net3,214
net48,213.86
_2464_,213.78
net40,213.13
_2497_,212.79
_2990_,212.74
_2762_,212.46
_2066_,212.34
_3295_,211.71
_2500_,211.02
_2477_,210.83
_2770_,210.29
_1312_,209.88
_2038_,208.5
_3232_,208.41
_2745_,207.79
clknet_4_7_0_clk,207.72
_3413_,207.53
_2560_,207.37
_3442_,206.85
_3052_,206.56
net64,206.12
_2525_,206.06
net94,205.8
_3373_,205.28
_3383_,205.27
_2530_,204.98
_1593_,204.63
_2556_,204.63
_3022_,204.61
_2758_,204.34
_3433_,203.98
_2772_,203.94
net21,203.83
_2764_,203.76
net106,203.62
_3066_,203.48
net73,203.06
_1606_,202.72
_3441_,202.7
_2655_,202.62
clknet_4_12_0_clk,202.4
_3104_,202.2
_3438_,201.92
_2540_,201.9
clknet_4_9_0_clk,201.555
_3431_,201.28
net65,200.7
_3184_,200.65
_2498_,200.13
_3324_,200.04
_3382_,200.01
clknet_4_6_0_clk,199.93
_2804_,199.86
_2742_,199.84
_3294_,199.735
_2557_,198.9
_3435_,198.71
_1398_,197.75
net89,197.6
_1827_,197.02
_2782_,196.69
_2465_,196.65
net98,196.59
_2609_,196.53
clknet_4_3_0_clk,196.21
_2499_,195.78
clknet_4_14_0_clk,195.76
_2763_,195.35
_2505_,194.91
_3154_,194.43
_3167_,194.14
_3371_,193.86
_2773_,193.14
_3326_,193.035
_3138_,192.72
_2789_,192.64
_2880_,192.58
_2791_,192.28
net22,192
_2743_,191.8
net41,191.64
_2744_,191.36
_3380_,191.27
_3381_,191.16
clknet_4_15_0_clk,190.91
net23,190.83
_3095_,190.46
_3440_,190.34
net75,190.06
_2977_,189.28
net112,188.9
clknet_4_10_0_clk,188.6
_3146_,187.68
net36,187.54
_2586_,187.32
_2919_,187.28
_2857_,186.705
_3280_,186.65
net9,186.25
_3238_,185.96
_2453_,185.63
_2760_,184.52
_3434_,184.37
_3123_,184.14
_2144_,183.88
_3021_,183.77
net87,183.72
_3374_,183.18
_3432_,183.18
_2767_,182.99
_2695_,182.84
_3140_,182.14
_1178_,181.9
_2910_,180.78
_2741_,180.35
_1592_,180.18
_3338_,180.08
_3109_,180.015
_1608_,179.9
_3182_,179.66
net16,178.9
net76,178.72
_2686_,178.69
_2449_,178.33
_3166_,178.28
net47,178.05
_2476_,177.2
_3023_,176.82
_2451_,175.32
_3079_,174.8
net38,174.77
_2249_,174.35
_1399_,174.24
_2978_,173.78
_3122_,172.44
_3251_,172.33
_2912_,171.58
_3209_,170.86
_1412_,170.35
_2781_,170.25
_2790_,169.92
_3226_,169.61
net54,169.5
_3050_,169.43
_2683_,169.24
_3228_,167.735
_2859_,166.42
_2963_,165.69
clknet_4_4_0_clk,165.46
_2685_,165.34
clknet_4_11_0_clk,164.86
_2652_,163.505
_1403_,163.04
clknet_4_0_0_clk,162.72
_3372_,162.5
_1179_,161.95
_2708_,161.81
_3153_,161.475
_2991_,161.42
_2739_,160.77
_3006_,159.81
_2585_,159.68
_3352_,159.31
_2752_,158.59
_2571_,158.24
_2882_,158.18
_3196_,157.98
_0016_,157.885
_2755_,157.7
_3008_,157.66
_3250_,157.47
_2305_,157.115
_3368_,157
_1607_,156.18
_3385_,155.41
_1390_,154.19
_2754_,154.17
_2526_,153.11
net6,152.93
_2753_,152.77
_3249_,152.505
_1280_,152.235
_2776_,152.18
_3370_,152.08
_3197_,151.93
_3264_,151.89
_2687_,151.78
_3282_,150.135
_2788_,149.85
net13,146.96
clknet_4_5_0_clk,145.62
_3233_,145.6
net107,144.94
_2606_,144.57
_2778_,143.89
_3097_,143.74
_3010_,143.29
_1208_,141.515
_3262_,141.46
_2921_,141.395
_2836_,141.25
_3210_,139.6
_3307_,138.88
_3236_,138.46
_1727_,137.08
_3308_,136.47
net81,135.48
net34,135.12
_3110_,134.72
_1518_,134.4
clknet_leaf_87_clk,133.62
clknet_leaf_4_clk,133.57
_2107_,133.11
_0052_,132.895
_2965_,132.34
_1851_,130.92
_3263_,130.8
_2601_,130.25
net30,129.6
_2572_,129.49
_3035_,129.2
_2512_,129.18
_2573_,127.635
_1394_,127.23
_0044_,125.465
_1844_,124.5
_1397_,124.4
clknet_leaf_67_clk,123.76
_2736_,123.67
clknet_leaf_109_clk,121.1
_1201_,120.94
net19,120.56
_1181_,120.54
_3036_,119.84
_1830_,119.52
_1401_,119.39
_2504_,119.32
_1799_,119.02
_0053_,117.635
_1177_,117.61
_1761_,117.58
clknet_leaf_37_clk,117.23
_1597_,117
net29,115.54
clknet_leaf_22_clk,115.45
_2501_,113.88
net42,113.56
_1169_,113.54
_2363_,113.41
clknet_leaf_102_clk,112.96
_2063_,112.23
_2833_,111.72
clknet_leaf_94_clk,110.34
_1891_,110.32
clknet_leaf_111_clk,110.02
_3351_,109.82
_1447_,109.73
_1460_,109.72
_0046_,109.7
_1591_,109.42
_1588_,109.14
memory\[5\]\[3\],108.82
clknet_leaf_90_clk,108.6
_1265_,108.5
_2154_,108.4
_3387_,107.32
clknet_leaf_84_clk,107.23
_1956_,107.12
_2323_,106.68
_0013_,105.935
_2178_,105.8
clknet_leaf_65_clk,105.54
_2241_,105.4
_2306_,105.26
_1861_,105
memory\[25\]\[13\],104.84
_2197_,104.6
clknet_leaf_32_clk,103.74
_1584_,103.7
clknet_leaf_83_clk,103.6
_2322_,102.945
clknet_leaf_35_clk,102.66
clknet_leaf_0_clk,102.42
_1221_,102.16
_3034_,102.12
clknet_leaf_110_clk,102.11
_1478_,101.48
_1383_,100.54
clknet_leaf_24_clk,100.495
_1463_,100.19
_1268_,100.04
memory\[0\]\[1\],99.77
clknet_leaf_115_clk,99.72
net45,99.52
clknet_leaf_71_clk,99.28
memory\[0\]\[26\],99.2
clknet_leaf_2_clk,99.2
clknet_leaf_62_clk,99.1
clknet_leaf_107_clk,98.92
clknet_leaf_38_clk,97.5
_1196_,97.46
memory\[16\]\[14\],97.46
_1928_,97.26
clknet_leaf_95_clk,97
memory\[0\]\[25\],96.32
_2490_,96.12
_1375_,95.85
_1991_,95.48
_2003_,95.42
clknet_leaf_68_clk,95.38
clknet_leaf_78_clk,95.055
clknet_leaf_116_clk,94.98
clknet_leaf_96_clk,94.18
_1879_,93.7
memory\[0\]\[31\],93.63
_1466_,93.08
_1218_,92.98
_1184_,92.94
clknet_leaf_85_clk,92.875
clknet_leaf_53_clk,92.43
_2206_,92.13
clknet_leaf_112_clk,92.095
_2412_,91.44
_2395_,91.06
clknet_leaf_114_clk,90.52
clknet_leaf_20_clk,90.445
_2079_,90.11
_1724_,89.88
_0018_,89.86
clknet_leaf_86_clk,89.28
_2171_,89.25
_0020_,89.135
_1684_,89.08
_2082_,88.94
clknet_leaf_56_clk,88.92
memory\[10\]\[12\],88.845
clknet_leaf_77_clk,88.82
clknet_leaf_54_clk,88.72
_2127_,88.46
_1897_,88.36
_2231_,88.32
memory\[25\]\[12\],88.21
_2232_,88.18
_2442_,87.84
_1155_,87.8
_1967_,87.44
clknet_leaf_18_clk,87.44
clknet_leaf_81_clk,87.4
clknet_leaf_108_clk,87.04
memory\[22\]\[21\],87.015
memory\[21\]\[23\],86.98
_2075_,86.96
_2020_,86.925
_1832_,85.77
clknet_leaf_57_clk,85.76
clknet_leaf_105_clk,85.76
_1633_,85.74
_2510_,85.68
clknet_leaf_31_clk,85.52
memory\[5\]\[1\],85.5
net35,85.34
memory\[10\]\[14\],85.3
_1432_,85.24
clknet_leaf_52_clk,85.24
_2031_,84.745
memory\[9\]\[25\],84.68
clknet_leaf_7_clk,84.58
_1260_,84.565
memory\[10\]\[0\],84.435
clknet_leaf_9_clk,84.32
_2337_,84.24
_1641_,84.18
clknet_leaf_104_clk,83.84
_1370_,83.505
_0049_,83.345
memory\[0\]\[29\],83.31
_2023_,83.1
clknet_leaf_30_clk,83.08
_2189_,82.64
clknet_leaf_40_clk,82.52
_1185_,82.5
_2293_,82.36
_2441_,82.18
_1947_,82.14
_1996_,81.84
_1909_,81.58
_1297_,81.515
_2302_,81.2
clknet_leaf_92_clk,81.18
clknet_leaf_5_clk,81
clknet_leaf_64_clk,81
clknet_leaf_27_clk,80.93
_2250_,80.9
_0062_,80.885
_1650_,80.78
clknet_leaf_28_clk,80.78
clknet_leaf_82_clk,80.71
clknet_leaf_8_clk,80.7
clknet_leaf_80_clk,80.62
_1674_,80.5
clknet_leaf_29_clk,80.46
_2136_,80.44
_2374_,80.28
_2344_,79.92
_2370_,79.84
memory\[2\]\[27\],79.725
_2286_,79.62
_2444_,79.61
clknet_leaf_76_clk,79.46
_1658_,79.06
clknet_leaf_73_clk,79
_1333_,78.955
clknet_leaf_36_clk,78.94
_2042_,78.75
_1917_,78.48
clknet_leaf_41_clk,78.34
clknet_leaf_103_clk,78.24
_1529_,78.2
_2489_,77.91
_2216_,77.9
_1425_,77.77
clknet_leaf_47_clk,77.74
_1539_,77.71
_1585_,77.14
_2048_,76.945
memory\[16\]\[10\],76.87
_2436_,76.82
_1302_,76.7
_1828_,76.64
_1767_,76.62
_1665_,76.58
_1745_,76.24
_2376_,76.18
_2384_,76.14
memory\[16\]\[15\],75.9
clknet_leaf_106_clk,75.86
_1470_,75.8
_2174_,75.72
memory\[5\]\[4\],75.7
memory\[11\]\[7\],75.52
_1742_,75.305
_2120_,75.28
clknet_leaf_58_clk,75.12
_1577_,74.97
clknet_leaf_25_clk,74.82
_1642_,74.81
clknet_leaf_6_clk,74.56
_1480_,74.24
_1839_,74.24
memory\[21\]\[30\],74.14
_2053_,74.09
memory\[1\]\[4\],73.92
_2012_,73.78
clknet_leaf_100_clk,73.76
_3093_,73.68
_0025_,73.52
_1384_,73.495
_1934_,73.46
_1422_,73.38
_1709_,73.3
_1536_,73.26
_2269_,73.18
_1692_,73.14
_2405_,73.12
memory\[24\]\[21\],73.02
_1336_,72.92
_2445_,72.675
clknet_leaf_34_clk,72.6
memory\[24\]\[22\],72.51
_2502_,72.3
memory\[13\]\[9\],72.26
memory\[10\]\[15\],72.21
_1546_,72.18
clknet_leaf_99_clk,72.18
memory\[14\]\[30\],72.07
_0063_,71.985
clknet_leaf_21_clk,71.98
_2161_,71.885
_1735_,71.84
clknet_leaf_45_clk,71.74
_1856_,71.69
memory\[17\]\[31\],71.54
_1423_,71.38
_2224_,71.28
memory\[26\]\[13\],71.13
_2013_,71.04
memory\[14\]\[9\],70.99
memory\[8\]\[12\],70.78
memory\[26\]\[16\],70.625
memory\[25\]\[16\],70.57
_2008_,70.52
_2341_,70.48
_2064_,70.38
_2238_,70.36
_2357_,70.36
_1810_,70.115
memory\[10\]\[13\],70.1
_1387_,69.81
_1663_,69.76
_2440_,69.74
_1415_,69.6
memory\[17\]\[11\],69.48
clknet_leaf_69_clk,69.48
_1235_,69.46
_2217_,69.2
_1567_,69.06
memory\[25\]\[14\],69.04
_2361_,68.96
_1499_,68.86
_1986_,68.72
memory\[10\]\[11\],68.64
_1923_,68.555
memory\[6\]\[26\],68.54
memory\[8\]\[6\],68.48
_2690_,68.475
memory\[12\]\[10\],68.46
_1473_,68.25
_2960_,68.22
_0059_,68.2
memory\[6\]\[18\],68.07
_1904_,68.03
memory\[12\]\[30\],68
clknet_leaf_48_clk,68
_2319_,67.94
memory\[9\]\[7\],67.93
clknet_leaf_113_clk,67.88
memory\[22\]\[22\],67.855
clknet_leaf_98_clk,67.74
_0055_,67.725
_1979_,67.72
_2128_,67.66
memory\[16\]\[11\],67.31
memory\[26\]\[12\],67.19
memory\[18\]\[1\],67.165
clknet_leaf_79_clk,67.13
_2145_,67.12
_1912_,66.99
_2283_,66.92
_1614_,66.7
memory\[17\]\[20\],66.5
_1623_,66.42
_2284_,66.34
_1544_,66.28
_2234_,66.26
memory\[18\]\[6\],66.25
clknet_leaf_50_clk,66.2
memory\[27\]\[22\],66.16
clknet_leaf_23_clk,66.16
_1557_,66.14
memory\[16\]\[16\],65.915
_2390_,65.74
_0006_,65.705
memory\[0\]\[9\],65.69
_2443_,65.68
_1345_,65.585
_1321_,65.58
_1952_,65.36
memory\[8\]\[11\],65.14
_1595_,65.06
memory\[8\]\[4\],65.05
clknet_leaf_11_clk,64.9
_1511_,64.78
_2043_,64.74
clknet_leaf_46_clk,64.46
_0026_,64.42
clknet_leaf_43_clk,64.4
_1667_,64.26
memory\[20\]\[7\],64.22
_1314_,64.2
_1769_,64.02
_1319_,63.9
_2035_,63.9
clknet_leaf_93_clk,63.86
_1443_,63.84
memory\[26\]\[22\],63.815
memory\[19\]\[6\],63.81
_1737_,63.78
_1167_,63.675
_1482_,63.55
_1931_,63.51
_2185_,63.5
clknet_leaf_12_clk,63.42
_2378_,63.3
memory\[4\]\[3\],63.08
clknet_leaf_63_clk,63.08
memory\[20\]\[6\],63.06
_1609_,63.04
_1758_,63
_1226_,62.92
memory\[8\]\[16\],62.92
_2125_,62.88
memory\[0\]\[27\],62.7
memory\[5\]\[2\],62.7
memory\[4\]\[28\],62.56
memory\[28\]\[13\],62.52
_1380_,62.44
_2603_,62.34
_2162_,62.32
memory\[17\]\[27\],62.3
_2397_,62.24
_2062_,62.23
clknet_leaf_74_clk,62.18
memory\[25\]\[15\],62.12
_1239_,62
_1942_,61.945
clknet_leaf_70_clk,61.88
_2356_,61.83
_1308_,61.8
clknet_leaf_13_clk,61.78
memory\[5\]\[27\],61.66
_1694_,61.58
_1404_,61.42
clknet_leaf_66_clk,61.42
_1352_,61.27
memory\[9\]\[0\],61.26
clknet_leaf_97_clk,61.12
_2511_,61.1
_2138_,60.98
_1569_,60.97
_1589_,60.7
clknet_leaf_16_clk,60.7
_1699_,60.64
_1328_,60.56
_1624_,60.44
clknet_leaf_14_clk,60.29
_1659_,60.28
clknet_leaf_88_clk,60.28
memory\[30\]\[9\],60.105
_1411_,59.925
_1646_,59.8
_1779_,59.8
clknet_leaf_17_clk,59.78
_1522_,59.745
memory\[12\]\[14\],59.7
_2558_,59.615
clknet_leaf_1_clk,59.54
_2388_,59.42
_1581_,59.36
_2262_,59.31
memory\[23\]\[1\],59.26
clknet_leaf_15_clk,59.26
_2507_,59.18
memory\[10\]\[31\],59.15
_2392_,59.14
memory\[11\]\[10\],59.1
_2073_,59.02
_0015_,58.865
_2339_,58.78
_0045_,58.77
memory\[16\]\[31\],58.76
memory\[4\]\[0\],58.72
_1616_,58.68
memory\[5\]\[26\],58.64
_1216_,58.62
memory\[18\]\[9\],58.605
_1213_,58.51
memory\[19\]\[27\],58.44
_2123_,58.28
_2438_,58.26
